Smiling,smiling,0.63,1.19
in,in,1.19,1.29
the,the,1.29,1.4300000000000002
sun,sun,1.43,1.88
a,a,2.02,2.13
Black,black,2.13,2.51
woman,woman,2.51,2.79
sports,sports,2.79,3.26
a,a,3.27,3.35
coral,coral,3.35,3.73
sun,sun,3.73,4.03
hat,hat,4.03,4.300000000000001
on,on,4.34,4.52
her,her,4.52,4.68
head,head,4.68,5.08
and,and,5.32,5.5
a,a,5.5,5.55
white,white,5.55,5.85
bandana,bandana,5.86,6.45
around,around,6.49,6.86
her,her,6.86,7.010000000000001
neck,neck,7.01,7.5
In,in,8.04,8.239999999999998
the,the,8.24,8.34
background,background,8.349999,9.109999
red,red,9.51,9.84
rock,rock,9.849999,10.199999
cliffs,cliffs,10.2,10.58
stand,stand,10.58,10.99
tall,tall,10.99,11.42
during,during,11.42,11.72
the,the,11.719999,11.809999
golden,golden,11.809999,12.289999
hour,hour,12.29,12.829999999999998
while,while,13.21,13.430000000000001
the,the,13.429999,13.549999
first,first,13.549999,13.999998999999999
quarter,quarter,14.0,14.45
moon,moon,14.45,14.92
gleams,gleams,14.92,15.51
in,in,15.549999,15.689999
the,the,15.69,15.799999999999999
clear,clear,15.799999,16.299999
blue,blue,16.299999,16.659999
sky,sky,16.66,17.31
