Alex's,alex's,0.07,0.46
looks,looks,0.46,0.72
up,up,0.72,0.9199999999999999
to,to,0.92,1.04
the,the,1.04,1.1300000000000001
winter,winter,1.13,1.43
clouds,clouds,1.43,1.93
and,and,1.95,2.1
the,the,2.1,2.2
sun,sun,2.2,2.52
bursting,bursting,2.52,2.89
through,through,2.89,3.1
them,them,3.1,3.39
wearing,wearing,3.62,3.96
a,a,3.96,4.02
grin,grin,4.02,4.449999999999999
of,of,4.46,4.69
uninhibited,uninhibited,4.74,5.45
glee,glee,5.45,5.890000000000001
In,in,6.17,6.24
this,this,6.25,6.47
timed,timed,6.48,6.83
selfie,selfie,6.83,7.38
they,they,7.38,7.4799999999999995
are,are,7.48,7.58
caught,caught,7.58,7.84
mid,mid,7.85,8.12
stim,stim,8.13,8.610000000000001
one,one,8.809999,9.119999
hand,hand,9.12,9.42
aflutter,aflutter,9.429999,9.679999
at,at,9.78,9.889999999999999
their,their,9.889999,10.029999
side,side,10.03,10.41
and,and,10.41,10.52
another,another,10.52,10.84
slightly,slightly,10.84,11.26
raised,raised,11.259999,11.699999
They,they,11.87,12.03
don,don,12.03,12.27
several,several,12.28,12.649999999999999
layers,layers,12.65,13.040000000000001
of,of,13.04,13.18
several,several,13.179999,13.469999
patterns,patterns,13.469999,14.009999
a,a,14.02,14.17
self,self,14.179999,14.449999
made,made,14.45,14.68
collage,collage,14.679999,15.089999
of,of,15.089999,15.209999
stripes,stripes,15.21,15.64
flannel,flannel,15.639999,16.039998999999998
and,and,16.039999,16.179999000000002
plaid,plaid,16.18,16.65
Snow,snow,16.99,17.38
sticks,sticks,17.379999,17.749999000000003
to,to,17.76,17.84
their,their,17.84,17.98
skirt,skirt,17.98,18.36
and,and,18.41,18.55
kisses,kisses,18.549999,18.879998999999998
their,their,18.879999,19.009999
dark,dark,19.01,19.23
curls,curls,19.23,19.68
their,their,19.91,20.080000000000002
pale,pale,20.08,20.369999999999997
fingers,fingers,20.37,20.75
flushed,flushed,20.75,21.06
in,in,21.06,21.13
the,the,21.13,21.22
cold,cold,21.22,21.66
They,they,22.18,22.38
are,are,22.38,22.48
at,at,22.490000000000002,22.71
peace,peace,22.71,23.19
framed,framed,23.52,23.98
by,by,23.990000000000002,24.200000000000003
frosted,frosted,24.21,24.75
evergreens,evergreens,24.78,25.6
