hot,hot,0.86,1.13
mirror,mirror,1.19,1.51
selfie,selfie,1.51,1.97
on,on,1.97,2.03
the,the,2.03,2.11
bathroom,bathroom,2.11,2.79
wearing,wearing,3.24,3.56
a,a,3.56,3.61
black,black,3.61,3.92
graphic,graphic,3.92,4.28
crop,crop,4.28,4.5600000000000005
tee,tee,4.61,4.7700000000000005
with,with,4.77,4.96
black,black,4.96,5.26
panties,panties,5.26,5.84
my,my,6.39,6.569999999999999
hair,hair,6.57,6.8100000000000005
wet,wet,6.83,7.13
and,and,7.41,7.55
im,im,7.55,7.66
feeling,feeling,7.66,7.97
good,good,7.97,8.209999999999999
