The,the,2.41,2.56
mottled,mottled,2.56,3.04
bullseye,bullseye,3.05,3.9499999999999997
of,of,4.07,4.260000000000001
spider,spider,4.26,4.83
angioma,angioma,4.83,5.73
below,below,5.89,6.26
Chris’s,Chris’s,6.26,6.71
left,left,6.74,7.09
eye,eye,7.09,7.55
appearing,appearing,7.84,8.41
right,right,8.41,8.75
bedazzles,bedazzles,9.54,10.409999999999998
the,the,10.44,10.57
bags,bags,10.57,11.19
found,found,11.2,11.58
there,there,11.58,11.85
A,a,12.889999,12.999998999999999
titled,titled,13.0,13.24
thinking,thinking,13.52,13.93
animal,animal,13.94,14.5
and,and,14.53,14.77
somemany,somemany,14.77,15.48
his,his,15.49,15.950000000000001
right,right,16.0,16.32
ear,ear,16.32,16.87
appearing,appearing,16.99,17.56
left,left,17.559999,18.039999
lets,lets,18.65,19.119999999999997
the,the,20.95,21.04
ceiling,ceiling,21.04,21.189999999999998
veer,veer,21.19,21.6
toward,toward,22.34,22.38
the,the,22.38,22.4
seer,seer,22.4,22.41
Lips,lips,22.42,22.990000000000002
tilt,tilt,23.09,23.48
opposite,opposite,23.55,24.39
Orange,orange,25.03,25.86
red,red,25.96,26.560000000000002
and,and,26.869999999999997,27.049999999999997
white,white,27.05,27.36
abound,abound,27.4,28.139999999999997
as,as,28.719999,28.939999
clothing,clothing,28.939999999999998,29.599999999999998
and,and,29.639999,29.889999
beard,beard,29.889999,30.389999
His,his,31.219999,31.429999000000002
look,look,31.429999000000002,31.639999000000003
clarifies,clarifies,31.65,32.57
that,that,33.219999,33.379999
he,he,33.38,33.46
has,has,33.46,33.61
already,already,33.62,34.379999999999995
decided,decided,34.58,35.129999999999995
to,to,35.129999,35.239999
love,love,35.239999999999995,35.46999999999999
you,you,35.469999,35.699999
