A,a,2.43,2.58
fusion,fusion,2.58,3.04
of,of,3.04,3.21
two,two,3.21,3.4699999999999998
men,men,3.47,3.9200000000000004
occupying,occupying,3.98,4.61
the,the,4.61,4.73
same,same,4.73,5.0600000000000005
physical,physical,5.07,5.49
space,space,5.49,6.08
The,the,7.02,7.17
tangible,tangible,7.18,7.74
man,man,7.74,8.22
visibly,visibly,9.3,9.98
smiling,smiling,9.98,10.68
wearing,wearing,10.679999,11.049999
a,a,11.05,11.13
suit,suit,11.13,11.48
reconstructed,reconstructed,11.54,12.409999999999998
from,from,12.41,12.6
hospital,hospital,12.599999,13.069999000000001
gowns,gowns,13.07,13.58
Breathing,breathing,14.62,15.059999999999999
using,using,15.059999,15.439999
the,the,15.44,15.57
lungs,lungs,15.57,15.950000000000001
of,of,15.96,16.1
his,his,16.1,16.25
internal,internal,16.27,16.82
partner,partner,16.82,17.42
invisible,invisible,18.1,18.78
in,in,18.79,18.939999999999998
both,both,18.94,19.220000000000002
matter,matter,19.25,19.69
and,and,19.7,20.029999999999998
name,name,20.03,20.470000000000002
The,the,22.27,22.39
two,two,22.39,22.69
living,living,22.69,23.110000000000003
synergistically,synergistically,23.11,24.15
in,in,24.17,24.330000000000002
an,an,24.33,24.45
unnatural,unnatural,24.48,25.150000000000002
harmony,harmony,25.15,25.82
