hayley,hayley,1.42,1.88
is,is,1.88,2.06
sitting,sitting,2.06,2.42
on,on,2.43,2.56
a,a,2.56,2.61
picnic,picnic,2.61,3.02
bench,bench,3.04,3.56
with,with,3.86,4.03
her,her,4.03,4.15
knees,knees,4.15,4.5200000000000005
up,up,4.53,4.800000000000001
and,and,4.87,5.0200000000000005
her,her,5.02,5.1499999999999995
small,small,5.15,5.550000000000001
dog,dog,5.55,5.87
greta,greta,5.88,6.3
in,in,6.33,6.49
her,her,6.49,6.640000000000001
lap,lap,6.64,7.09
greta,greta,7.83,8.18
is,is,8.179999,8.339999
a,a,8.34,8.39
black,black,8.389999,8.739999
and,and,8.74,8.89
tan,tan,8.889999,9.149999
dachshund,dachshund,9.15,9.9
hayley,hayley,10.389999,10.759998999999999
is,is,10.76,10.959999999999999
kissing,kissing,10.96,11.4
greta,greta,11.4,11.85
on,on,11.86,12.0
the,the,12.0,12.11
cheek,cheek,12.12,12.68
and,and,12.95,13.139999999999999
wearing,wearing,13.139999,13.489999
a,a,13.49,13.52
black,black,13.52,13.83
turtleneck,turtleneck,13.87,14.229999999999999
