From,from,0.37,0.59
her,her,0.59,0.7
childhood,childhood,0.7,1.25
bedroom,bedroom,1.25,1.8900000000000001
a,a,2.12,2.2600000000000002
31,31,2.63,2.81
year,year,2.81,2.93
old,old,2.93,3.1
Jennifer,jennifer,3.1,3.48
takes,takes,3.52,3.75
a,a,3.75,3.82
mirror,mirror,3.82,4.07
selfie,selfie,4.65,4.66
with,with,4.67,4.86
her,her,4.86,5.010000000000001
first,first,5.01,5.34
cane,cane,5.35,5.779999999999999
Like,like,6.92,7.14
the,the,7.14,7.239999999999999
rest,rest,7.24,7.430000000000001
of,of,7.43,7.52
her,her,7.52,7.68
outfit,outfit,7.68,8.23
it,it,8.28,8.44
is,is,8.44,8.58
black,black,8.58,9.0
and,and,9.01,9.19
designed,designed,9.19,9.58
for,for,9.59,9.72
comfort,comfort,9.719999,10.019999
She,she,11.179999,11.369999
sends,sends,11.37,11.69
the,the,11.69,11.82
snap,snap,11.83,12.21
to,to,12.25,12.42
several,several,12.42,12.79
friends,friends,12.79,13.399999999999999
the,the,13.83,13.96
smile,smile,13.96,14.41
lingering,lingering,14.41,14.89
on,on,14.889999,15.029999
her,her,15.03,15.17
face,face,15.17,15.62
as,as,15.67,15.81
she,she,15.809999,15.979999
realises,realises,15.98,16.66
this,this,16.699999,16.869999
is,is,16.879999,17.009999
one,one,17.01,17.150000000000002
of,of,17.15,17.299999999999997
kindness’s,kindness’s,17.33,17.99
many,many,17.99,18.31
precipices,precipices,18.34,19.07
she,she,19.119999,19.339999
has,has,19.34,19.5
previously,previously,19.5,20.12
avoided,avoided,20.12,20.71
Leaping,leaping,21.96,22.35
off,off,22.35,22.41
of,of,22.41,22.51
it,it,22.509999999999998,22.72
is,is,22.77,22.99
freeing,freeing,22.990000000000002,23.55
The,the,24.29,24.43
subtle,subtle,24.43,24.72
power,power,24.72,25.049999999999997
of,of,25.05,25.17
this,this,25.17,25.310000000000002
announcement,announcement,25.31,25.869999999999997
by,by,25.88,26.05
way,way,26.05,26.29
of,of,26.29,26.39
a,a,26.389999,26.449999
visual,visual,26.45,26.89
cue,cue,26.889999,27.259999
cannot,cannot,27.29,27.599999999999998
be,be,27.599999,27.709999
underestimated,underestimated,27.71,28.740000000000002
Signs,signs,29.77,30.13
and,and,30.130000000000003,30.28
signifiers,signifiers,30.28,30.93
make,make,30.96,31.220000000000002
the,the,31.219999,31.339999000000002
invisible,invisible,31.34,31.96
visible,visible,31.98,32.6
A,a,33.38,33.46
painting,painting,33.46,33.82
of,of,33.82,33.93
Stevie,stevie,33.929999,34.209999
Nicks,nicks,34.209998999999996,34.459998999999996
is,is,34.459998999999996,34.569998999999996
in,in,34.57,34.68
the,the,34.68,34.78
background,background,34.779999000000004,35.439999
eyes,eyes,36.09,36.42
bright,bright,36.42,36.760000000000005
and,and,36.760000000000005,36.89000000000001
holding,holding,36.9,37.28
the,the,37.279999000000004,37.36999900000001
night,night,37.37,37.64
bird,bird,37.64,38.09
Jennifer’s,Jennifer’s,39.04,39.41
been,been,39.43,39.61
listening,listening,39.62,39.96
to,to,39.96,40.11
her,her,40.11,40.28
a,a,40.28,40.34
lot,lot,40.34,40.57
lately,lately,40.57,41.12
especially,especially,41.54,42.16
Sable,sable,42.16,42.54
on,on,42.54,42.699999999999996
Blond,blond,42.7,43.18
She,she,44.03,44.230000000000004
knows,knows,44.230000000000004,44.480000000000004
what,what,44.480000000000004,44.59
it,it,44.66,44.769999999999996
means,means,44.769999999999996,45.209999999999994
to,to,45.21,45.730000000000004
learn,learn,45.87,46.19
to,to,46.19,46.29
be,be,46.309999,46.449999
a,a,46.45,46.510000000000005
stranger,stranger,46.51,47.199999999999996
like,like,47.8,48.029999999999994
her,her,48.03,48.15
body,body,48.17,48.5
before,before,48.509999,48.849999000000004
pain,pain,48.849999,49.239999
became,became,49.269999999999996,49.809999999999995
