In,in,1.38,1.5399999999999998
a,a,1.54,1.6400000000000001
service,service,1.64,2.06
elevator,elevator,2.06,2.63
between,between,2.63,3.07
two,two,3.07,3.3499999999999996
x,x,3.37,3.64
marks,marks,3.68,3.99
on,on,4.01,4.1499999999999995
the,the,4.15,4.260000000000001
floor,floor,4.26,4.84
A,a,4.89,4.989999999999999
person,person,4.99,5.5600000000000005
is,is,5.6,5.7299999999999995
seated,seated,5.73,6.1000000000000005
in,in,6.11,6.220000000000001
a,a,6.22,6.3
bright,bright,6.31,6.6
orange,orange,6.62,7.09
power,power,7.09,7.3999999999999995
wheelchair,wheelchair,7.41,7.9
waving,waving,8.13,8.47
a,a,8.47,8.55
hand,hand,8.55,9.09
caught,caught,9.15,9.49
in,in,9.51,9.709999999999999
blurred,blurred,9.71,10.06
motion,motion,10.099999,10.699999
