Kelsie,<unk>,2.61,3.25
a,a,3.4,3.51
white,white,3.51,3.79
woman,woman,3.79,4.16
with,with,4.16,4.41
dark,dark,4.44,4.82
curly,curly,4.83,5.23
hair,hair,5.23,5.54
and,and,5.54,5.67
glasses,glasses,5.68,6.49
looks,looks,6.9,7.23
fondly,fondly,7.23,7.840000000000001
over,over,7.84,8.07
her,her,8.07,8.19
shoulder,shoulder,8.19,8.6
at,at,8.599999,8.739999000000001
Finn,finn,8.74,9.24
a,a,9.7,9.79
tuxedo,tuxedo,9.79,10.36
cat,cat,10.36,10.709999999999999
who,who,10.71,10.83
is,is,10.83,11.01
perched,perched,11.01,11.44
behind,behind,11.48,11.950000000000001
her,her,11.95,12.26
