Lil,lil,1.86,2.0900000000000003
Miss,miss,2.09,2.3
Hot,hot,2.3,2.55
Mess,mess,2.55,2.9699999999999998
a,a,3.0,3.11
drag,drag,3.11,3.48
queen,queen,3.48,3.82
dressed,dressed,3.82,4.1499999999999995
in,in,4.15,4.24
tacky,tacky,4.24,4.67
clothes,clothes,4.67,5.08
inspired,inspired,5.08,5.69
by,by,5.69,5.83
Yetta,<unk>,5.84,6.17
from,from,6.19,6.36
The,the,6.36,6.45
Nanny,nanny,6.45,6.96
animal,animal,7.6,7.93
prints,prints,7.93,8.299999999999999
sequins,<unk>,8.3,8.9
rhinestones,rhinestones,8.91,9.73
and,and,9.73,9.88
a,a,9.88,9.930000000000001
visor,visor,9.929999,10.589999
sits,sits,11.0,11.3
with,with,11.3,11.440000000000001
a,a,11.44,11.51
bingo,bingo,11.52,11.87
cage,cage,11.87,12.219999999999999
and,and,12.219999,12.379999
board,board,12.38,12.88
cheekily,<unk>,13.16,13.63
flashing,flashing,13.639999,14.109999
a,a,14.11,14.16
peace,peace,14.16,14.45
sign,sign,14.45,14.79
after,after,14.799999,15.079998999999999
hosting,hosting,15.089999,15.499999
virtual,virtual,15.509999,15.919999
bingo,bingo,15.92,16.36
for,for,16.359999,16.519999
queer,queer,16.52,16.83
senior,senior,16.83,17.279999999999998
citizens,citizens,17.279999,17.419999
from,from,17.699999,17.889999
her,her,17.889999,17.999999
bedroom,bedroom,18.05,18.53
during,during,18.53,18.740000000000002
the,the,18.74,18.84
Covid,<unk>,18.84,19.66
19,,,
pandemic,pandemic,19.68,20.38
She,she,21.02,21.24
stares,stares,21.240000000000002,21.660000000000004
just,just,21.66,21.84
slightly,slightly,21.84,22.22
off,off,22.22,22.38
camera,camera,22.38,22.81
as,as,22.81,22.95
if,if,22.95,23.11
to,to,23.11,23.25
say,say,23.25,23.68
I,i,24.11,24.21
don’t,don't,24.21,24.36
make,make,24.36,24.54
the,the,24.54,24.66
rules,rules,24.66,25.13
she’s,she's,25.2,25.48
a,a,25.48,25.56
bingo,bingo,25.57,25.96
queen,queen,25.96,26.310000000000002
now,now,26.32,26.75
Lil,lil,27.53,27.77
Miss,miss,27.77,27.96
Hot,hot,27.96,28.16
Mess,mess,28.16,28.4
is,is,28.4,28.509999999999998
a,a,28.509999999999998,28.599999999999998
white,white,28.599999,28.879999
Jewish,jewish,28.889999,29.239999
drag,drag,29.240000000000002,29.540000000000003
queen,queen,29.54,29.99
once,once,30.03,30.32
described,described,30.32,30.78
as,as,30.78,30.880000000000003
having,having,30.889999,31.289998999999998
a,a,31.33,31.639999999999997
peaches,peaches,31.889999,32.239999
and,and,32.24,32.39
cream,cream,32.389999,32.799999
complexion,complexion,32.799999,33.549999
by,by,33.86,33.98
the,the,33.980000000000004,34.1
drag,drag,34.1,34.49
legend,legend,34.489999999999995,34.85999999999999
Vaginal,vaginal,34.859999,35.279999000000004
Davis,davis,35.289999,35.879999000000005
with,with,36.269999999999996,36.48
a,a,36.51,36.53
dirty,dirty,36.539999,36.859999
blonde,blonde,36.86,37.21
wig,wig,37.21,37.61
and,and,37.63,37.81
glittery,glittery,37.81,38.29
eyes,eyes,38.29,38.76
and,and,38.79,39.0
lips,lips,39.0,39.38
that,that,39.38,39.56
somehow,somehow,39.56,39.980000000000004
managed,managed,39.98,40.419999999999995
to,to,40.45,40.57
stay,stay,40.57,40.82
on,on,40.82,41.08
for,for,41.08,41.26
over,over,41.26,41.54
an,an,41.54,41.69
hour,hour,41.69,41.98
before,before,41.980000000000004,42.35
this,this,42.35,42.54
photo,photo,42.54,42.85
was,was,42.85,43.050000000000004
taken,taken,43.05,43.48
