A,a,1.24,1.34
Black,black,1.34,1.6500000000000001
femme,<unk>,1.67,2.01
stands,stands,2.02,2.43
beside,beside,2.43,2.77
a,a,2.82,2.88
brick,brick,2.88,3.15
wall,wall,3.15,3.51
avoiding,avoiding,3.54,4.02
the,the,4.02,4.14
rain,rain,4.14,4.489999999999999
Black,black,5.18,5.52
chunky,chunky,5.55,5.91
headphones,headphones,5.91,6.5
blasting,blasting,6.53,7.0200000000000005
drum,drum,7.02,7.199999999999999
and,and,7.2,7.34
bass,bass,7.34,7.74
sit,sit,7.75,7.97
on,on,7.97,8.1
top,top,8.099999,8.319999000000001
of,of,8.32,8.49
their,their,8.54,8.739999999999998
short,short,8.74,9.11
hot,hot,9.12,9.44
pink,pink,9.44,9.719999999999999
curls,curls,9.76,10.35
They,they,11.05,11.200000000000001
wear,wear,11.2,11.389999999999999
a,a,11.42,11.49
black,black,11.49,11.88
hoodie,<unk>,11.88,12.24
tucked,tucked,12.3,12.58
away,away,12.58,12.96
under,under,13.009999,13.349999
a,a,13.36,13.37
snakeskin,<unk>,13.37,14.379999999999999
olive,olive,14.44,14.799999999999999
green,green,14.809999,15.179998999999999
raincoat,raincoat,15.179999,15.749999
